job_role,company,title,skills
서버 개발자,인텔리어스,AI 백엔드 엔지니어,"['AWS', 'Azure', 'Django', 'Flask', 'Docker', 'Python']"
서버 개발자,데브시스터즈(Devsisters),[쿠키런: 오븐스매시] 컨텐츠 서버 엔지니어,"['Redis', 'SQL']"
서버 개발자,바카티오(Vacatio),[인턴] Backend Engineer,"['AWS', 'MongoDB', 'Redis', 'Node.js', 'Docker']"
서버 개발자,엘리스,클라우드 DevOps 엔지니어,"['Shell Scripting', 'Kubernetes', 'DevOps', 'Python']"
서버 개발자,전능아이티,[Smartdoctor] 백엔드 개발자,"['Node.js', 'AWS', 'Spring']"
서버 개발자,아우토크립트,[연구·개발] 사이버보안 테스트 솔루션 개발,"['Git', 'Linux', 'React', 'C++', 'GitHub', 'C / C++', 'Java', 'JavaScript', 'MySQL', 'Swift', 'Python']"
서버 개발자,이글로벌시스템,[신입] 백엔드/서버 개발자,"['Git', 'Linux', 'SQL', 'UNIX', 'Java', 'Docker', 'C / C++']"
서버 개발자,누리미디어(DBpia),[개발운영] 백엔드 개발자 (병역특례 전문연구요원),"['AWS', 'SQL', 'Spring Boot', 'Java', 'Spring', 'Git']"
서버 개발자,넥슨코리아(NEXON),[프라시아 전기] 서버 프로그래머,"['OOP', '.NET', 'MSSQL', 'C++', 'C#']"
서버 개발자,파이오링크,[전문연구요원] 클라우드 개발자 (백엔드/DevOps),['Python']
서버 개발자,두나미스아트테크놀로지스,Entry-Level Software Engineer,"['AWS', 'Linux', 'FastAPI', 'Redis', 'React', 'PostgreSQL', 'Flask', 'Docker', 'Git', 'Python']"
서버 개발자,블리몽키즈,[인턴] 개발자,"['Django', 'PostgreSQL', 'MySQL', 'Python']"
서버 개발자,알렌의서재,백엔드개발자(Node.js) / 3년 이하,"['AWS', 'GraphQL', 'MySQL', 'Node.js', 'PostgreSQL', 'Docker', 'Git']"
서버 개발자,크몽(kmong),Back-end Developer (병역특례 전문연구요원),"['AWS', 'Laravel', 'PHP', 'Spring Boot', 'Kotlin', 'MySQL']"
서버 개발자,누리미디어(DBpia),[AI사업] 주니어 AI 개발자 (병역특례 전문연구요원),"['PyTorch', 'TensorFlow']"
서버 개발자,오엠티아이코리아,ASP.NET 개발자(신입),"['SQL', 'Azure']"
서버 개발자,도슨티,"Software engineer (AI, Back, Fullstack)","['GCP', 'FastAPI', 'Azure']"
서버 개발자,전능아이티,[Smartdoctor] 산업기능요원(보충역) 개발자,"['HTTP', 'React', 'IP', 'Java', 'TypeScript', 'Android', 'TCP', 'Spring', 'Kotlin', 'MVVM']"
서버 개발자,보스반도체,Embedded System SW Engineer,"['MFC', 'Linux', 'DSP', 'RTOS']"
서버 개발자,큐램,소프트웨어 개발자,['Java']
서버 개발자,미르니,산업기능요원 병역특례 보충역(4급) 엔지니어,"['SQL', 'JavaScript']"
서버 개발자,마드라스체크,AI 풀스택 엔지니어,"['JavaScript', 'Next.js']"
서버 개발자,페이타랩(패스오더),[병역특례] Android 개발자(산업기능요원/보충역/전직),"['Kotlin', 'Java']"
서버 개발자,인텔렉투스,백엔드 개발자 전문연구요원(병역특례),"['MongoDB', 'AWS', 'MySQL']"
서버 개발자,넥스트그라운드,[인턴] 백엔드 개발자 (전환형),"['JPA', 'MongoDB', 'Redis', 'Java', 'Spring', 'MySQL']"
프론트엔드 개발자,테크타카(ARGO),Software Engineer (Backend)_신입,"['Kotlin', 'Java', 'SQL']"
프론트엔드 개발자,포스타입,프론트엔드 엔지니어 (0~5년),"['AWS', 'React', 'TypeScript', 'Java', 'Kotlin']"
프론트엔드 개발자,파이프트리(paiptree Inc.),자사 서비스(웹/앱/플랫폼)의 신규 기능 개발 및 운영,"['Git', 'Azure', 'Django', 'MongoDB', 'React', 'Java', 'MariaDB', 'Python', 'Spring', 'JavaScript', 'MySQL', 'C#']"
프론트엔드 개발자,그래픽,"프론트엔드 엔지니어(React, Next)","['AWS', 'React']"
프론트엔드 개발자,채널코퍼레이션,[채널톡] Software Engineer,"['Golang', 'AWS', 'React', 'Java', 'Docker', 'Kotlin', 'Go', 'Python']"
프론트엔드 개발자,위시스트,프론트엔드 개발자,"['TypeScript', 'React', 'Git']"
프론트엔드 개발자,페칭,글로벌 패션 커머스 프론트엔드 개발자 주니어 (병역특례 가능),"['Redux', 'React', 'Next.js', 'TypeScript', 'Recoil', 'React Native']"
프론트엔드 개발자,틸다,[인턴] [Metheus] FE Engineer,"['React', 'Next.js']"
프론트엔드 개발자,에버엑스,[글로벌 사업 부문]Frontend Developer,"['AWS', 'React', 'TypeScript', 'JavaScript', 'Git']"
프론트엔드 개발자,제트5,[픽셀 히어로즈 어드벤처] 프론트엔드 개발자 (신입 ~ 5년),"['React', 'JavaScript', 'Next.js']"
프론트엔드 개발자,코딧(CODITCorp.),[인턴] [SW] 프론트엔드 개발자 (React.js),"['React', 'TypeScript', 'JavaScript']"
프론트엔드 개발자,런업,"[인턴] 풀스택 개발자 (nextjs,spring boot)","['Spring', 'Next.js']"
프론트엔드 개발자,메이크스타,Software Engineer,"['Flutter', 'Vue.js', 'Django', 'Nuxt.js', 'GCP', 'Java', 'Spring', 'Kotlin', 'FastAPI', 'Python']"
프론트엔드 개발자,케이존,프론트엔드 개발자(신입~3년차),"['TypeScript', 'JavaScript']"
프론트엔드 개발자,에이치에너지,[모햇] 프론트엔드 개발자,"['JavaScript', 'Vue.js']"
프론트엔드 개발자,보이저엑스(VoyagerX),[Vrew] 웹 애플리케이션 개발자,"['React', 'TypeScript', 'JavaScript']"
프론트엔드 개발자,엘리스,프론트엔드 엔지니어,"['WebRTC', 'React', 'TypeScript', 'JavaScript', 'Web Socket']"
프론트엔드 개발자,언더라이터,클라이언트·프론트엔드 개발자,"['TypeScript', 'GitHub', 'React']"
프론트엔드 개발자,테서,프론트엔드 개발자 (React Native),"['React', 'Next.js', 'TypeScript', 'React Native', 'Git']"
프론트엔드 개발자,코드비전,"[인턴] 프론트엔드, 백엔드 개발자","['Git', 'React', 'Node.js', 'PostgreSQL', 'TypeScript', 'MySQL', 'Python']"
프론트엔드 개발자,링글잉글리시에듀케이션서비스,[인턴] Software Engineer - Full Stack (전환형),"['AWS', 'Django', 'Redux', 'React', 'Java', 'Flask', 'Spring', 'Kubernetes', 'Python']"
프론트엔드 개발자,바카티오(Vacatio),[인턴] Frontend Engineer,"['TypeScript', 'React', 'Recoil', 'Next.js']"
프론트엔드 개발자,컨포트랩,Software Engineer (~6년),"['AWS', 'React', 'Spring Boot', 'Next.js', 'Spring', 'Kotlin', 'Kubernetes', 'Python']"
프론트엔드 개발자,컨시언스파트너스,"주니어 프론트엔드 개발자(Next.js, Typescript)","['Flutter', 'JavaScript', 'Git', 'Next.js']"
프론트엔드 개발자,바카티오(Vacatio),Frontend Engineer,"['TypeScript', 'React', 'Recoil', 'Next.js']"
프론트엔드 개발자,전능아이티,[Smartdoctor] 프론트엔드 개발자,['React']
프론트엔드 개발자,페이타랩(패스오더),Android 개발자,"['Kotlin', 'Java']"
프론트엔드 개발자,그래비티랩스,Software Engineer,"['MongoDB', 'Kotlin', 'TypeScript', 'React']"
프론트엔드 개발자,밀리만코리아(Milliman),Software Engineer (Application 개발),"['TypeScript', 'React']"
프론트엔드 개발자,알렌의서재,프론트엔드개발자,"['React', 'GraphQL', 'Next.js', 'Git', 'Spa']"
프론트엔드 개발자,퍼스트해빗,AI Full-Stack Engineer (AI 실무 개발자),"['FastAPI', 'Python']"
프론트엔드 개발자,인트포,Fullstack Engineer,"['AWS', 'React', 'Next.js', 'Docker', 'FastAPI']"
프론트엔드 개발자,모두싸인,[병역 특례] 프론트엔드 엔지니어 (산업기능요원),"['Redux', 'TypeScript', 'React', 'Git']"
프론트엔드 개발자,브이디크럭스,"Windows Client 개발자( C++, C#)","['MFC', 'React', 'Visual Studio', 'WPF', 'C / C++', 'C#']"
프론트엔드 개발자,라이프페스타,앱 프론트엔드 개발(Unity3D),"['iOS', 'C++', 'GitHub', 'Android', 'C / C++']"
프론트엔드 개발자,리비바이오,[병역특례] 프론트엔드개발 산업기능요원,['Next.js']
프론트엔드 개발자,도슨티,"Software engineer (AI, Back, Fullstack)","['GCP', 'FastAPI', 'Azure']"
프론트엔드 개발자,전능아이티,[Smartdoctor] 산업기능요원(보충역) 개발자,"['HTTP', 'React', 'IP', 'Java', 'TypeScript', 'Android', 'TCP', 'Spring', 'Kotlin', 'MVVM']"
프론트엔드 개발자,넛지헬스케어(캐시워크),[병역특례 현역/보충역] 풀스택 개발자,['PostgreSQL']
프론트엔드 개발자,리비바이오,[병역특례] 안드로이드개발 산업기능요원,"['Kotlin', 'Java', 'Git']"
프론트엔드 개발자,브레인,클라이언트 프론트 앤드 개발자,"['TypeScript', 'React']"
프론트엔드 개발자,울룰루,프론트엔드 개발자 (신입~3년),"['React', 'TypeScript', 'JavaScript', 'Next.js']"
프론트엔드 개발자,블루밍그레이스,SE(Fullstack Engineer),"['React', 'Redis', 'Next.js', 'Node.js', 'PostgreSQL', 'TypeScript']"
프론트엔드 개발자,잠바구니,숙박예약 및 커뮤니티 플랫폼 프론트엔드(NextJS) (신입~1년차),"['React', 'JavaScript', 'Next.js']"
프론트엔드 개발자,넥스트그라운드,[인턴] 프론트엔드 개발자 (전환형),"['Redux', 'React', 'Next.js', 'TypeScript', 'Recoil']"
프론트엔드 개발자,누비랩,[병역특례] Front-End Engineer (산업기능요원 전직/보충역),"['React', 'TypeScript', 'JavaScript', 'Next.js']"
데이터 사이언티스트,업스테이지,AI Tech Data Manager,['Python']
데이터 사이언티스트,파이프트리(paiptree Inc.),AgTech 데이터 분석가,"['데이터 보안', '데이터 구조', '데이터 통합', '데이터 분석', '데이터베이스']"
데이터 사이언티스트,업스테이지,[인턴] AI Product Data Management,"['OpenCV', 'Python']"
데이터 사이언티스트,도터,AI 소프트웨어 개발자,"['PyTorch', 'TensorFlow', 'Tensorflow', 'GitHub', 'OpenCV', 'Git', 'Python']"
데이터 사이언티스트,씨디알아이(CDRI),AI Engineer,"['PyTorch', 'TensorFlow']"
데이터 사이언티스트,비바리퍼블리카(토스),Data Analytics Engineer(Platform),"['SQL', 'Python']"
데이터 사이언티스트,넛지헬스케어(캐시워크),데이터분석가,"['SQL', 'Python']"
데이터 사이언티스트,슈퍼센트,데이터 사이언티스트 (마케팅 전략),"['Scikit-learn', 'PyTorch', 'SQL', 'TensorFlow', 'Pandas', 'Docker', 'Git', 'Tableau', 'Python']"
데이터 사이언티스트,애자일소다,Vision AI Researcher,"['PyTorch', 'TensorFlow']"
데이터 사이언티스트,엘리스,AI 엔지니어,"['NLP', 'Python']"
데이터 사이언티스트,렛서,[인턴] AI Engineer,"['Docker', 'Python']"
데이터 사이언티스트,렉스소프트,디지털 헬스케어 데이터 사이언티스트,"['R', 'Git']"
데이터 사이언티스트,에임인텔리전스,AI Red Teaming Hacker,"['PyTorch', 'ML', 'Data Analysis', 'API', 'Python']"
데이터 사이언티스트,빗썸,Database Engineer (블록체인),"['SQL', 'MySQL', 'Python']"
데이터 사이언티스트,판테라,AI/Deep Learning 연구개발자,"['PyTorch', 'TensorFlow']"
데이터 사이언티스트,언리저브,딥러닝 개발자,"['AWS', 'PyTorch', 'GCP', 'PostgreSQL', 'Python']"
데이터 사이언티스트,팜킷,AI 엔지니어 (재택 가능),"['Spring', 'Java']"
데이터 사이언티스트,딥아이,AI 기반 머신 비전 개발자,"['PyTorch', 'TensorFlow']"
데이터 사이언티스트,코너스톤파트너스디지털,Operation / Digital Consultant,"['AWS', 'Azure', 'SQL', 'MySQL', 'Python']"
데이터 사이언티스트,에이치엠이스퀘어,인공지능 전문가,"['GitHub', 'PyTorch', 'Tensorflow', 'Python']"
데이터 사이언티스트,코드잇(codeit),콘텐츠 프로듀서 [AI 엔지니어링 교육],"['Excel', 'Scikit-learn', 'PyTorch', 'SQL', '딥 러닝', '데이터 분석', '데이터 과학', 'Tableau', 'Python']"
데이터 사이언티스트,업스테이지,[인턴] AI Research Engineer - LLM Eval,['Python']
데이터 사이언티스트,업스테이지,[전문연구요원 신규편입 & 전직] AI Agent Engineer,['NLP']
데이터 사이언티스트,넛지헬스케어(캐시워크),[병역특례 현역/보충역] 데이터분석가,['Python']
데이터 사이언티스트,어쎈드,Quantitative Research Engineer,['Redis']
데이터 사이언티스트,마디,신약 개발 임상시험 개발자,"['Scikit-learn', 'Pandas', 'Python']"
데이터 사이언티스트,심플랫폼,[병역특례] AI 관련 원천기술 연구 및 소프트웨어 개발자 (전문연구요원),['PyTorch']
데이터 사이언티스트,심플랫폼,ML Engineer(LLM/AI Agent) - 병역특례/외국인 가능,"['PyTorch', 'TensorFlow', 'Python']"
데이터 사이언티스트,코넥시오에이치,"데이터 온톨로지 엔지니어 (병특 전문연구요원 Only, 석사이상)","['Java', 'PyTorch', 'TensorFlow', 'Python']"
